order_item_id,order_id,product_id,quantity,unit_price,discount,revenue,cost,profit
80,ORD-10035,PROD-003,3,79.02,0.0,237.06,109.36,127.7
81,ORD-10036,PROD-005,2,103.16,0.1,185.69,111.55,74.14
82,ORD-10036,PROD-001,3,945.45,0.05,2694.53,1271.19,1423.34
83,ORD-10037,PROD-014,2,33.41,0.0,66.82,43.1,23.72
84,ORD-10037,PROD-015,4,19.37,0.0,77.48,43.71,33.77
85,ORD-10038,PROD-002,1,286.92,0.0,286.92,176.4,110.52
86,ORD-10038,PROD-008,3,236.11,0.0,708.33,433.39,274.94
87,ORD-10039,PROD-008,2,227.52,0.15,386.78,222.73,164.05
88,ORD-10039,PROD-014,3,30.95,0.0,92.85,65.8,27.05
89,ORD-10039,PROD-013,2,51.49,0.0,102.98,46.74,56.24
90,ORD-10040,PROD-004,3,39.89,0.0,119.67,59.81,59.86
91,ORD-10041,PROD-013,3,50.36,0.05,143.53,86.52,57.01
92,ORD-10042,PROD-003,3,77.22,0.0,231.66,132.49,99.17
93,ORD-10043,PROD-013,2,54.12,0.05,102.83,48.4,54.43
94,ORD-10043,PROD-002,4,262.46,0.0,1049.84,566.29,483.55
95,ORD-10044,PROD-006,4,89.24,0.1,321.26,203.34,117.92
96,ORD-10044,PROD-007,3,480.85,0.0,1442.55,953.58,488.97
97,ORD-10044,PROD-011,1,81.75,0.0,81.75,54.06,27.69
98,ORD-10045,PROD-014,4,31.83,0.0,127.32,75.23,52.09
99,ORD-10045,PROD-004,4,43.62,0.0,174.48,111.12,63.36
100,ORD-10045,PROD-015,2,18.78,0.0,37.56,23.76,13.8
101,ORD-10046,PROD-010,1,42.56,0.0,42.56,26.84,15.72
102,ORD-10046,PROD-011,3,89.6,0.05,255.36,179.63,75.73
103,ORD-10047,PROD-014,4,31.62,0.0,126.48,82.35,44.13
104,ORD-10047,PROD-004,1,43.01,0.05,40.86,25.12,15.74
105,ORD-10048,PROD-003,1,71.5,0.0,71.5,38.33,33.17
106,ORD-10049,PROD-010,2,46.86,0.0,93.72,54.69,39.03
107,ORD-10049,PROD-009,2,184.85,0.1,332.73,203.36,129.37
108,ORD-10050,PROD-013,1,56.61,0.0,56.61,34.88,21.73
109,ORD-10050,PROD-011,4,79.82,0.05,303.32,199.77,103.55
110,ORD-10050,PROD-008,1,227.3,0.0,227.3,126.85,100.45
111,ORD-10051,PROD-002,1,286.78,0.05,272.44,172.55,99.89
112,ORD-10052,PROD-007,1,491.96,0.0,491.96,268.75,223.21
113,ORD-10053,PROD-003,1,80.14,0.05,76.13,54.11,22.02
114,ORD-10054,PROD-016,4,23.41,0.0,93.64,52.39,41.25
115,ORD-10054,PROD-004,3,40.61,0.1,109.65,73.38,36.27
116,ORD-10054,PROD-005,1,107.96,0.1,97.16,67.25,29.91
117,ORD-10055,PROD-008,4,258.71,0.1,931.36,495.17,436.19
118,ORD-10055,PROD-005,1,120.09,0.1,108.08,56.62,51.46
119,ORD-10055,PROD-002,2,294.52,0.15,500.68,317.57,183.11
120,ORD-10056,PROD-015,4,17.5,0.05,66.5,43.42,23.08
121,ORD-10057,PROD-013,4,59.9,0.15,203.66,103.62,100.04
122,ORD-10057,PROD-014,3,29.53,0.0,88.59,59.87,28.72
123,ORD-10057,PROD-002,1,291.18,0.0,291.18,176.46,114.72
124,ORD-10058,PROD-002,4,296.68,0.0,1186.72,664.68,522.04
125,ORD-10058,PROD-016,2,21.38,0.0,42.76,23.28,19.48
126,ORD-10058,PROD-009,2,187.0,0.0,374.0,193.42,180.58
127,ORD-10059,PROD-007,2,520.92,0.0,1041.84,503.11,538.73
128,ORD-10059,PROD-003,1,69.78,0.15,59.31,30.69,28.62
129,ORD-10059,PROD-012,1,64.95,0.1,58.46,34.67,23.79
130,ORD-10060,PROD-012,2,69.17,0.0,138.34,93.84,44.5
131,ORD-10061,PROD-007,2,487.2,0.0,974.4,456.27,518.13
132,ORD-10062,PROD-006,3,86.24,0.15,219.91,112.78,107.13
133,ORD-10062,PROD-005,3,117.16,0.0,351.48,217.45,134.03
134,ORD-10063,PROD-009,2,163.49,0.1,294.28,157.91,136.37
135,ORD-10063,PROD-015,3,19.19,0.0,57.57,34.28,23.29
136,ORD-10064,PROD-016,4,21.29,0.0,85.16,43.69,41.47
137,ORD-10064,PROD-014,3,28.22,0.0,84.66,39.5,45.16
138,ORD-10065,PROD-012,2,63.08,0.0,126.16,83.45,42.71
139,ORD-10065,PROD-015,2,19.04,0.0,38.08,20.49,17.59
140,ORD-10065,PROD-005,2,121.01,0.0,242.02,162.57,79.45
141,ORD-10066,PROD-012,4,69.5,0.15,236.3,164.34,71.96
142,ORD-10067,PROD-016,1,22.24,0.1,20.02,13.01,7.01
143,ORD-10068,PROD-007,3,508.31,0.0,1524.93,759.96,764.97
144,ORD-10069,PROD-004,3,37.69,0.0,113.07,79.52,33.55
145,ORD-10069,PROD-011,3,90.44,0.1,244.19,155.81,88.38
146,ORD-10069,PROD-003,3,68.64,0.0,205.92,110.11,95.81
147,ORD-10070,PROD-011,3,90.7,0.05,258.5,129.81,128.69
148,ORD-10070,PROD-013,3,59.19,0.0,177.57,85.17,92.4
149,ORD-10071,PROD-016,2,20.78,0.0,41.56,21.03,20.53
150,ORD-10071,PROD-011,1,78.18,0.1,70.36,31.78,38.58
151,ORD-10071,PROD-008,1,228.97,0.1,206.07,111.81,94.26
152,ORD-10072,PROD-003,2,70.24,0.1,126.43,68.08,58.35
153,ORD-10073,PROD-012,3,65.15,0.0,195.45,127.21,68.24
154,ORD-10074,PROD-014,1,29.06,0.05,27.61,18.36,9.25
155,ORD-10074,PROD-006,2,93.09,0.1,167.56,117.97,49.59
156,ORD-10075,PROD-010,4,42.35,0.05,160.93,96.13,64.8
157,ORD-10075,PROD-015,2,18.56,0.0,37.12,16.97,20.15
158,ORD-10075,PROD-007,4,492.71,0.15,1675.21,1077.3,597.91
159,ORD-10076,PROD-009,1,176.18,0.0,176.18,97.72,78.46
160,ORD-10076,PROD-003,4,76.59,0.0,306.36,198.09,108.27
161,ORD-10076,PROD-005,3,110.92,0.05,316.12,215.28,100.84
162,ORD-10077,PROD-001,4,977.04,0.0,3908.16,2657.08,1251.08
163,ORD-10077,PROD-009,1,192.76,0.1,173.48,86.58,86.9
164,ORD-10078,PROD-004,4,44.17,0.05,167.85,89.41,78.44
165,ORD-10078,PROD-014,3,31.75,0.15,80.96,47.96,33.0
166,ORD-10078,PROD-016,2,22.38,0.1,40.28,19.23,21.05
167,ORD-10079,PROD-016,3,24.27,0.1,65.53,39.96,25.57
168,ORD-10079,PROD-011,4,82.64,0.0,330.56,150.96,179.6
169,ORD-10079,PROD-008,4,241.86,0.0,967.44,522.71,444.73
170,ORD-10080,PROD-001,3,1041.72,0.0,3125.16,1649.23,1475.93
171,ORD-10081,PROD-005,4,106.86,0.05,406.07,219.71,186.36
172,ORD-10081,PROD-004,2,41.4,0.0,82.8,48.07,34.73
173,ORD-10082,PROD-005,2,108.74,0.0,217.48,120.35,97.13
174,ORD-10082,PROD-015,3,16.38,0.0,49.14,33.31,15.83
175,ORD-10082,PROD-003,2,69.16,0.0,138.32,85.28,53.04
176,ORD-10083,PROD-009,1,185.79,0.05,176.5,93.02,83.48
177,ORD-10083,PROD-014,3,31.52,0.0,94.56,47.7,46.86
178,ORD-10083,PROD-011,3,81.77,0.0,245.31,171.63,73.68
179,ORD-10084,PROD-015,4,19.79,0.05,75.2,44.66,30.54
180,ORD-10085,PROD-014,1,31.28,0.1,28.15,17.41,10.74
181,ORD-10086,PROD-011,1,95.12,0.0,95.12,49.29,45.83
182,ORD-10087,PROD-003,4,82.11,0.0,328.44,195.54,132.9
183,ORD-10088,PROD-001,3,1051.08,0.0,3153.24,1701.76,1451.48
184,ORD-10088,PROD-014,4,31.14,0.1,112.1,80.64,31.46
185,ORD-10089,PROD-013,2,59.2,0.0,118.4,81.08,37.32
186,ORD-10089,PROD-016,2,23.39,0.0,46.78,29.31,17.47
187,ORD-10089,PROD-010,2,47.99,0.0,95.98,58.95,37.03
188,ORD-10090,PROD-006,4,97.69,0.1,351.68,172.66,179.02
189,ORD-10091,PROD-005,3,111.29,0.1,300.48,160.42,140.06
190,ORD-10092,PROD-005,2,119.9,0.15,203.83,115.22,88.61
191,ORD-10092,PROD-013,4,56.15,0.0,224.6,154.3,70.3
192,ORD-10092,PROD-016,3,20.87,0.0,62.61,29.23,33.38
193,ORD-10093,PROD-009,4,171.01,0.0,684.04,369.27,314.77
194,ORD-10093,PROD-013,2,59.43,0.0,118.86,68.14,50.72
195,ORD-10093,PROD-010,1,42.27,0.1,38.04,21.85,16.19
196,ORD-10094,PROD-002,1,253.2,0.0,253.2,142.27,110.93
197,ORD-10094,PROD-014,4,29.83,0.0,119.32,78.94,40.38
198,ORD-10095,PROD-010,4,49.72,0.0,198.88,118.88,80.0
199,ORD-10096,PROD-004,3,36.73,0.0,110.19,62.66,47.53
200,ORD-10097,PROD-011,3,91.35,0.05,260.35,183.07,77.28
201,ORD-10097,PROD-010,4,41.4,0.0,165.6,117.48,48.12
202,ORD-10098,PROD-008,4,221.12,0.0,884.48,428.88,455.6
203,ORD-10099,PROD-011,2,83.44,0.1,150.19,74.5,75.69
204,ORD-10099,PROD-007,1,570.47,0.0,570.47,293.62,276.85
205,ORD-10100,PROD-007,4,542.17,0.0,2168.68,1236.78,931.9
206,ORD-10101,PROD-010,2,43.1,0.05,81.89,52.73,29.16
207,ORD-10101,PROD-008,4,267.04,0.15,907.94,469.28,438.66
208,ORD-10102,PROD-011,3,82.4,0.0,247.2,132.65,114.55
209,ORD-10102,PROD-010,2,40.57,0.1,73.03,43.0,30.03
210,ORD-10103,PROD-002,3,252.48,0.0,757.44,542.59,214.85
211,ORD-10103,PROD-009,3,170.35,0.1,459.94,210.74,249.2
212,ORD-10104,PROD-015,1,18.36,0.0,18.36,9.7,8.66
213,ORD-10104,PROD-008,1,230.32,0.1,207.29,133.71,73.58
214,ORD-10105,PROD-016,4,21.33,0.0,85.32,50.05,35.27
215,ORD-10106,PROD-012,1,64.35,0.0,64.35,41.0,23.35
216,ORD-10107,PROD-002,4,284.74,0.0,1138.96,634.55,504.41
217,ORD-10107,PROD-014,2,30.75,0.0,61.5,35.55,25.95
218,ORD-10108,PROD-009,2,169.2,0.0,338.4,181.77,156.63
219,ORD-10109,PROD-011,1,84.7,0.0,84.7,49.54,35.16
220,ORD-10109,PROD-008,1,250.13,0.0,250.13,148.26,101.87
221,ORD-10110,PROD-008,1,240.67,0.0,240.67,150.51,90.16
222,ORD-10110,PROD-012,1,60.35,0.05,57.33,35.75,21.58
223,ORD-10110,PROD-004,2,36.99,0.0,73.98,38.43,35.55
224,ORD-10111,PROD-013,1,51.56,0.0,51.56,29.66,21.9
225,ORD-10111,PROD-008,4,230.74,0.15,784.52,358.25,426.27
226,ORD-10112,PROD-015,3,18.77,0.15,47.86,33.32,14.54
227,ORD-10112,PROD-009,2,185.3,0.0,370.6,176.48,194.12
228,ORD-10113,PROD-003,1,73.08,0.1,65.77,47.02,18.75
229,ORD-10113,PROD-001,1,929.25,0.05,882.79,555.1,327.69
230,ORD-10114,PROD-007,3,561.95,0.0,1685.85,950.4,735.45
231,ORD-10114,PROD-006,2,105.1,0.0,210.2,119.91,90.29
232,ORD-10115,PROD-012,1,59.81,0.1,53.83,32.69,21.14
233,ORD-10115,PROD-010,4,49.11,0.0,196.44,109.67,86.77
234,ORD-10115,PROD-009,3,185.28,0.1,500.26,227.48,272.78
235,ORD-10116,PROD-004,4,42.3,0.05,160.74,111.09,49.65
236,ORD-10116,PROD-007,2,508.32,0.0,1016.64,493.13,523.51
237,ORD-10117,PROD-012,2,69.61,0.0,139.22,87.47,51.75
238,ORD-10118,PROD-015,1,16.86,0.05,16.02,7.97,8.05
239,ORD-10118,PROD-002,2,290.27,0.0,580.54,337.04,243.5
240,ORD-10119,PROD-005,2,106.49,0.0,212.98,119.16,93.82
241,ORD-10119,PROD-013,2,49.53,0.15,84.2,58.49,25.71
242,ORD-10119,PROD-011,2,87.06,0.0,174.12,121.38,52.74
243,ORD-10120,PROD-015,4,16.95,0.0,67.8,32.21,35.59
244,ORD-10120,PROD-003,1,76.98,0.0,76.98,45.31,31.67
245,ORD-10120,PROD-014,1,27.93,0.0,27.93,17.42,10.51
246,ORD-10121,PROD-010,3,41.52,0.0,124.56,70.55,54.01
247,ORD-10122,PROD-012,1,69.66,0.1,62.69,34.69,28.0
248,ORD-10122,PROD-015,4,18.14,0.0,72.56,34.19,38.37
249,ORD-10122,PROD-006,1,101.43,0.15,86.22,60.7,25.52
250,ORD-10123,PROD-003,2,73.27,0.0,146.54,97.25,49.29
251,ORD-10124,PROD-008,2,264.03,0.0,528.06,354.49,173.57
252,ORD-10124,PROD-011,1,91.56,0.0,91.56,51.43,40.13
253,ORD-10124,PROD-005,1,122.36,0.1,110.12,64.51,45.61
254,ORD-10125,PROD-016,1,21.46,0.15,18.24,11.31,6.93
255,ORD-10126,PROD-010,3,49.69,0.0,149.07,101.01,48.06
256,ORD-10127,PROD-004,1,43.18,0.0,43.18,28.72,14.46
257,ORD-10127,PROD-014,2,32.88,0.1,59.18,38.05,21.13
258,ORD-10128,PROD-001,3,1008.83,0.0,3026.49,1775.44,1251.05
259,ORD-10128,PROD-016,1,24.44,0.0,24.44,15.73,8.71
260,ORD-10128,PROD-013,3,54.42,0.1,146.93,71.83,75.1
261,ORD-10129,PROD-013,3,61.39,0.0,184.17,91.72,92.45
262,ORD-10129,PROD-015,4,17.14,0.05,65.13,43.9,21.23
263,ORD-10129,PROD-005,2,113.46,0.05,215.57,98.7,116.87
264,ORD-10130,PROD-003,2,80.71,0.0,161.42,103.96,57.46
265,ORD-10130,PROD-014,3,31.75,0.05,90.49,42.72,47.77
266,ORD-10130,PROD-004,2,38.16,0.1,68.69,37.13,31.56
267,ORD-10131,PROD-011,1,82.15,0.0,82.15,47.35,34.8
268,ORD-10131,PROD-009,1,198.69,0.05,188.76,106.29,82.47
269,ORD-10132,PROD-012,3,62.64,0.0,187.92,133.92,54.0
270,ORD-10132,PROD-014,4,31.06,0.1,111.82,52.69,59.13
271,ORD-10133,PROD-010,2,41.53,0.05,78.91,41.89,37.02
272,ORD-10133,PROD-016,4,19.83,0.05,75.35,50.7,24.65
273,ORD-10134,PROD-007,3,576.35,0.0,1729.05,1138.4,590.65
274,ORD-10134,PROD-014,4,27.53,0.05,104.61,66.54,38.07
275,ORD-10135,PROD-011,3,87.11,0.0,261.33,185.68,75.65
276,ORD-10135,PROD-016,3,22.92,0.0,68.76,48.77,19.99
277,ORD-10136,PROD-006,1,100.42,0.1,90.38,56.96,33.42
278,ORD-10136,PROD-010,1,45.48,0.1,40.93,23.78,17.15
279,ORD-10136,PROD-004,1,43.21,0.0,43.21,29.48,13.73
280,ORD-10137,PROD-008,3,226.91,0.05,646.69,442.3,204.39
281,ORD-10137,PROD-010,4,45.91,0.0,183.64,87.07,96.57
282,ORD-10137,PROD-014,4,28.96,0.0,115.84,82.25,33.59
283,ORD-10138,PROD-014,1,28.56,0.05,27.13,18.61,8.52
284,ORD-10138,PROD-010,1,44.31,0.0,44.31,20.47,23.84
285,ORD-10139,PROD-004,2,40.66,0.05,77.25,51.38,25.87
286,ORD-10139,PROD-013,4,55.21,0.0,220.84,149.87,70.97
287,ORD-10139,PROD-012,3,66.42,0.05,189.3,132.95,56.35
288,ORD-10140,PROD-013,3,58.92,0.0,176.76,100.89,75.87
289,ORD-10140,PROD-012,1,59.0,0.0,59.0,35.22,23.78
290,ORD-10141,PROD-013,1,58.08,0.0,58.08,32.71,25.37
291,ORD-10141,PROD-016,2,21.18,0.05,40.24,28.38,11.86
292,ORD-10142,PROD-004,4,37.57,0.0,150.28,70.95,79.33
293,ORD-10143,PROD-016,2,20.05,0.0,40.1,18.09,22.01
294,ORD-10144,PROD-014,2,31.1,0.05,59.09,37.75,21.34
295,ORD-10144,PROD-012,2,67.61,0.1,121.7,70.09,51.61
296,ORD-10144,PROD-006,4,106.0,0.05,402.8,194.09,208.71
297,ORD-10145,PROD-015,2,18.2,0.05,34.58,17.46,17.12
298,ORD-10145,PROD-005,2,116.5,0.0,233.0,157.45,75.55
299,ORD-10146,PROD-016,4,22.83,0.0,91.32,61.72,29.6
300,ORD-10146,PROD-001,2,1040.08,0.0,2080.16,1431.67,648.49
301,ORD-10147,PROD-011,4,80.22,0.15,272.75,122.9,149.85
302,ORD-10148,PROD-010,4,49.88,0.0,199.52,107.95,91.57
303,ORD-10148,PROD-014,2,32.21,0.05,61.2,42.23,18.97
304,ORD-10149,PROD-003,3,74.21,0.1,200.37,110.69,89.68
305,ORD-10150,PROD-011,2,94.68,0.0,189.36,103.32,86.04
306,ORD-10150,PROD-001,4,1036.17,0.1,3730.21,2604.97,1125.24
307,ORD-10150,PROD-008,2,227.67,0.05,432.57,253.09,179.48
308,ORD-10151,PROD-005,3,121.21,0.05,345.45,247.86,97.59
309,ORD-10151,PROD-001,4,880.18,0.1,3168.65,1559.88,1608.77
310,ORD-10151,PROD-011,1,85.14,0.1,76.63,35.54,41.09
311,ORD-10152,PROD-007,1,539.15,0.05,512.19,347.96,164.23
312,ORD-10152,PROD-014,3,32.46,0.05,92.51,60.67,31.84
313,ORD-10153,PROD-016,1,24.6,0.05,23.37,12.37,11.0
314,ORD-10153,PROD-006,2,87.24,0.05,165.76,88.53,77.23
315,ORD-10153,PROD-012,3,68.56,0.0,205.68,127.61,78.07
316,ORD-10154,PROD-013,1,60.79,0.05,57.75,34.99,22.76
317,ORD-10154,PROD-003,1,68.89,0.05,65.45,41.96,23.49
318,ORD-10155,PROD-005,1,116.36,0.0,116.36,68.34,48.02
319,ORD-10156,PROD-015,3,19.39,0.1,52.35,35.83,16.52
320,ORD-10156,PROD-002,1,312.37,0.05,296.75,190.4,106.35
321,ORD-10157,PROD-006,4,103.23,0.1,371.63,221.58,150.05
322,ORD-10157,PROD-004,3,40.01,0.05,114.03,62.3,51.73
323,ORD-10157,PROD-003,3,75.81,0.0,227.43,158.59,68.84
324,ORD-10158,PROD-013,3,52.48,0.0,157.44,97.56,59.88
325,ORD-10159,PROD-010,4,43.25,0.0,173.0,93.24,79.76
326,ORD-10159,PROD-012,3,71.64,0.0,214.92,128.56,86.36
327,ORD-10159,PROD-015,2,17.01,0.1,30.62,14.27,16.35
328,ORD-10160,PROD-014,3,28.31,0.0,84.93,47.06,37.87
329,ORD-10160,PROD-001,1,1008.67,0.1,907.8,474.55,433.25
330,ORD-10160,PROD-003,4,75.18,0.0,300.72,156.62,144.1
331,ORD-10161,PROD-012,1,69.58,0.05,66.1,39.61,26.49
332,ORD-10161,PROD-015,1,19.98,0.1,17.98,11.53,6.45
333,ORD-10162,PROD-010,4,48.83,0.15,166.02,94.0,72.02
334,ORD-10162,PROD-015,2,18.18,0.05,34.54,16.13,18.41
335,ORD-10163,PROD-010,3,49.87,0.05,142.13,72.39,69.74
336,ORD-10164,PROD-012,2,63.64,0.0,127.28,90.63,36.65
337,ORD-10164,PROD-013,4,55.45,0.15,188.53,104.37,84.16
338,ORD-10164,PROD-003,3,70.2,0.0,210.6,98.51,112.09
339,ORD-10165,PROD-003,3,68.82,0.0,206.46,93.46,113.0
340,ORD-10165,PROD-010,4,47.02,0.0,188.08,113.05,75.03
341,ORD-10165,PROD-009,1,195.84,0.05,186.05,86.35,99.7
342,ORD-10166,PROD-006,3,86.89,0.15,221.57,101.19,120.38
343,ORD-10167,PROD-016,3,24.1,0.0,72.3,44.38,27.92
344,ORD-10167,PROD-010,2,50.11,0.05,95.21,51.49,43.72
345,ORD-10167,PROD-004,2,40.35,0.0,80.7,48.5,32.2
346,ORD-10168,PROD-009,3,176.5,0.0,529.5,346.2,183.3
347,ORD-10168,PROD-016,1,24.07,0.05,22.87,14.04,8.83
348,ORD-10168,PROD-007,2,534.0,0.0,1068.0,583.31,484.69
349,ORD-10169,PROD-003,4,81.12,0.0,324.48,178.98,145.5
350,ORD-10170,PROD-008,1,257.74,0.0,257.74,136.98,120.76
351,ORD-10170,PROD-011,3,88.02,0.0,264.06,146.66,117.4
352,ORD-10170,PROD-004,3,37.03,0.0,111.09,77.61,33.48
353,ORD-10171,PROD-015,4,19.3,0.0,77.2,36.55,40.65
354,ORD-10172,PROD-007,4,528.0,0.05,2006.4,1325.15,681.25
355,ORD-10173,PROD-009,1,182.78,0.05,173.64,93.98,79.66
356,ORD-10174,PROD-011,3,81.42,0.05,232.05,116.3,115.75
357,ORD-10174,PROD-001,1,1034.53,0.0,1034.53,707.15,327.38
358,ORD-10174,PROD-005,4,108.89,0.0,435.56,264.86,170.7
359,ORD-10175,PROD-012,1,69.32,0.0,69.32,45.13,24.19
360,ORD-10175,PROD-014,2,32.23,0.0,64.46,40.26,24.2
361,ORD-10175,PROD-004,4,38.17,0.0,152.68,74.14,78.54
362,ORD-10176,PROD-011,1,89.48,0.0,89.48,49.27,40.21
363,ORD-10177,PROD-009,4,191.52,0.0,766.08,407.36,358.72
364,ORD-10178,PROD-006,4,88.23,0.0,352.92,173.48,179.44
365,ORD-10178,PROD-010,4,44.83,0.0,179.32,94.79,84.53
366,ORD-10179,PROD-013,4,49.55,0.0,198.2,111.49,86.71
367,ORD-10180,PROD-006,3,95.47,0.15,243.45,154.2,89.25
368,ORD-10181,PROD-011,3,93.61,0.0,280.83,131.16,149.67
369,ORD-10181,PROD-002,1,261.84,0.0,261.84,137.99,123.85
370,ORD-10181,PROD-013,1,56.08,0.05,53.28,31.46,21.82
371,ORD-10182,PROD-011,2,77.52,0.0,155.04,89.94,65.1
372,ORD-10183,PROD-011,2,82.18,0.0,164.36,88.03,76.33
373,ORD-10184,PROD-008,3,257.63,0.1,695.6,492.93,202.67
374,ORD-10184,PROD-010,4,43.8,0.0,175.2,115.45,59.75
