order_id,order_date,customer_id,sales_channel
ORD-10207,2024-12-15,CUST-0242,Retail Store
ORD-10208,2025-03-21,CUST-0069,B2B Sales
ORD-10209,2024-12-15,CUST-0175,Retail Store
ORD-10210,2025-08-29,CUST-0049,Online
ORD-10211,2025-10-25,CUST-0108,Online
ORD-10212,2024-05-16,CUST-0226,Retail Store
ORD-10213,2024-08-30,CUST-0161,Retail Store
ORD-10214,2025-06-26,CUST-0119,Online
ORD-10215,2024-02-09,CUST-0149,Online
ORD-10216,2024-08-16,CUST-0150,B2B Sales
ORD-10217,2025-07-01,CUST-0293,Retail Store
ORD-10218,2024-08-10,CUST-0143,Online
ORD-10219,2024-01-06,CUST-0160,Online
ORD-10220,2024-11-17,CUST-0011,Online
ORD-10221,2025-04-12,CUST-0138,Online
ORD-10222,2024-03-15,CUST-0078,Online
ORD-10223,2024-01-04,CUST-0077,Online
ORD-10224,2025-10-07,CUST-0254,Retail Store
ORD-10225,2024-04-27,CUST-0258,Online
ORD-10226,2025-08-28,CUST-0291,Retail Store
ORD-10227,2025-05-18,CUST-0263,B2B Sales
ORD-10228,2025-07-27,CUST-0085,Online
ORD-10229,2025-03-16,CUST-0146,Retail Store
ORD-10230,2024-07-12,CUST-0042,Online
ORD-10231,2025-12-15,CUST-0125,B2B Sales
ORD-10232,2025-01-26,CUST-0167,Online
ORD-10233,2024-01-26,CUST-0241,Retail Store
ORD-10234,2025-03-10,CUST-0280,Retail Store
ORD-10235,2024-06-21,CUST-0188,Online
ORD-10236,2024-10-26,CUST-0019,Online
ORD-10237,2025-10-06,CUST-0068,Retail Store
ORD-10238,2024-11-21,CUST-0218,Retail Store
ORD-10239,2025-02-13,CUST-0102,Online
ORD-10240,2024-04-27,CUST-0042,Retail Store
ORD-10241,2025-12-24,CUST-0288,Online
ORD-10242,2024-08-12,CUST-0167,Retail Store
ORD-10243,2025-06-15,CUST-0109,Online
ORD-10244,2024-04-22,CUST-0036,B2B Sales
ORD-10245,2024-05-19,CUST-0232,Online
ORD-10246,2025-07-12,CUST-0229,Online
ORD-10247,2024-01-01,CUST-0164,Online
ORD-10248,2024-03-30,CUST-0073,Online
ORD-10249,2025-10-15,CUST-0136,Retail Store
ORD-10250,2024-11-15,CUST-0070,Online
ORD-10251,2025-07-03,CUST-0196,Retail Store
ORD-10252,2024-05-18,CUST-0269,Online
ORD-10253,2025-05-25,CUST-0049,Online
ORD-10254,2024-09-15,CUST-0130,Online
ORD-10255,2025-11-03,CUST-0005,Online
ORD-10256,2025-11-20,CUST-0027,Online
ORD-10257,2024-01-10,CUST-0160,Online
ORD-10258,2024-09-17,CUST-0149,Online
ORD-10259,2025-10-11,CUST-0264,Online
ORD-10260,2024-06-20,CUST-0230,Retail Store
ORD-10261,2024-01-13,CUST-0200,Retail Store
ORD-10262,2024-06-16,CUST-0050,Online
ORD-10263,2025-10-03,CUST-0067,Online
ORD-10264,2025-08-18,CUST-0300,B2B Sales
ORD-10265,2024-11-16,CUST-0058,Retail Store
ORD-10266,2024-11-14,CUST-0259,Retail Store
ORD-10267,2025-09-04,CUST-0130,Online
ORD-10268,2024-11-24,CUST-0215,Retail Store
ORD-10269,2025-07-03,CUST-0172,Retail Store
ORD-10270,2025-02-22,CUST-0258,Retail Store
ORD-10271,2025-08-28,CUST-0102,B2B Sales
ORD-10272,2024-04-04,CUST-0209,Online
ORD-10273,2025-08-03,CUST-0291,Online
ORD-10274,2024-11-13,CUST-0286,Retail Store
ORD-10275,2024-08-23,CUST-0116,Retail Store
ORD-10276,2024-11-29,CUST-0264,Online
ORD-10277,2025-01-10,CUST-0150,Online
ORD-10278,2025-04-03,CUST-0300,Online
ORD-10279,2024-05-16,CUST-0036,Online
ORD-10280,2025-08-10,CUST-0287,Retail Store
ORD-10281,2025-06-30,CUST-0208,Retail Store
ORD-10282,2025-05-27,CUST-0106,Online
ORD-10283,2024-10-22,CUST-0158,Online
ORD-10284,2024-11-15,CUST-0121,Online
ORD-10285,2025-07-25,CUST-0055,Online
ORD-10286,2024-12-14,CUST-0012,Retail Store
ORD-10287,2024-08-16,CUST-0145,B2B Sales
ORD-10288,2024-09-26,CUST-0136,Retail Store
ORD-10289,2024-10-17,CUST-0003,Online
ORD-10290,2025-12-25,CUST-0144,B2B Sales
ORD-10291,2024-06-13,CUST-0030,Retail Store
ORD-10292,2024-01-05,CUST-0237,Retail Store
ORD-10293,2025-01-13,CUST-0279,Online
ORD-10294,2024-03-18,CUST-0115,Online
ORD-10295,2025-02-13,CUST-0104,Online
ORD-10296,2025-07-27,CUST-0118,Online
ORD-10297,2024-05-11,CUST-0005,Online
ORD-10298,2025-08-23,CUST-0248,Online
ORD-10299,2024-02-11,CUST-0121,Online
ORD-10300,2024-03-29,CUST-0286,Retail Store
ORD-10301,2025-02-05,CUST-0149,Online
ORD-10302,2024-10-22,CUST-0084,Online
ORD-10303,2024-10-21,CUST-0231,B2B Sales
ORD-10304,2025-09-07,CUST-0288,B2B Sales
ORD-10305,2025-06-09,CUST-0161,Retail Store
ORD-10306,2025-11-21,CUST-0272,B2B Sales
ORD-10307,2025-09-28,CUST-0038,Retail Store
ORD-10308,2025-02-25,CUST-0226,B2B Sales
ORD-10309,2024-01-23,CUST-0142,Online
ORD-10310,2025-07-28,CUST-0292,Online
ORD-10311,2024-05-22,CUST-0151,Online
ORD-10312,2025-10-26,CUST-0114,Online
ORD-10313,2024-05-24,CUST-0237,Online
ORD-10314,2024-08-12,CUST-0066,Retail Store
ORD-10315,2025-05-17,CUST-0258,Retail Store
ORD-10316,2025-09-07,CUST-0249,Retail Store
ORD-10317,2024-04-13,CUST-0180,Online
ORD-10318,2024-02-08,CUST-0190,Retail Store
ORD-10319,2024-07-16,CUST-0154,Retail Store
ORD-10320,2025-10-07,CUST-0196,Online
ORD-10321,2025-08-01,CUST-0262,Retail Store
ORD-10322,2025-01-25,CUST-0143,Online
ORD-10323,2024-06-27,CUST-0101,Online
ORD-10324,2025-07-07,CUST-0244,B2B Sales
ORD-10325,2025-03-23,CUST-0012,Online
ORD-10326,2025-05-14,CUST-0239,Online
ORD-10327,2024-01-15,CUST-0049,B2B Sales
ORD-10328,2025-09-14,CUST-0042,Retail Store
ORD-10329,2025-10-30,CUST-0166,Online
ORD-10330,2024-10-15,CUST-0082,Online
ORD-10331,2025-04-22,CUST-0291,Online
ORD-10332,2024-08-18,CUST-0158,Retail Store
ORD-10333,2025-02-23,CUST-0216,Online
ORD-10334,2024-06-05,CUST-0158,Online
ORD-10335,2025-07-03,CUST-0134,B2B Sales
ORD-10336,2025-03-16,CUST-0067,Retail Store
ORD-10337,2024-04-06,CUST-0007,Online
ORD-10338,2025-02-14,CUST-0014,Retail Store
ORD-10339,2024-10-15,CUST-0073,Retail Store
ORD-10340,2024-09-10,CUST-0163,Online
ORD-10341,2024-07-14,CUST-0066,Online
ORD-10342,2025-08-20,CUST-0130,Retail Store
ORD-10343,2025-06-05,CUST-0206,Online
ORD-10344,2025-05-31,CUST-0276,Retail Store
ORD-10345,2025-09-26,CUST-0256,Online
ORD-10346,2024-04-27,CUST-0266,Online
ORD-10347,2024-06-07,CUST-0025,Online
ORD-10348,2024-08-15,CUST-0281,Online
ORD-10349,2024-08-03,CUST-0253,Online
ORD-10350,2025-11-26,CUST-0289,Online
ORD-10351,2024-01-15,CUST-0164,Retail Store
ORD-10352,2024-06-05,CUST-0095,B2B Sales
ORD-10353,2025-10-09,CUST-0270,Retail Store
ORD-10354,2024-09-17,CUST-0110,B2B Sales
ORD-10355,2024-06-05,CUST-0238,Online
ORD-10356,2024-02-16,CUST-0025,B2B Sales
ORD-10357,2024-11-19,CUST-0141,Online
ORD-10358,2025-11-15,CUST-0117,B2B Sales
ORD-10359,2024-05-09,CUST-0025,B2B Sales
ORD-10360,2025-02-14,CUST-0079,Retail Store
ORD-10361,2024-04-04,CUST-0068,B2B Sales
ORD-10362,2025-09-18,CUST-0173,Retail Store
ORD-10363,2024-10-18,CUST-0012,Online
ORD-10364,2024-10-09,CUST-0288,Online
ORD-10365,2024-03-09,CUST-0128,Retail Store
ORD-10366,2025-10-21,CUST-0096,Online
ORD-10367,2024-01-11,CUST-0092,Retail Store
ORD-10368,2024-09-10,CUST-0141,B2B Sales
ORD-10369,2025-07-03,CUST-0031,Online
ORD-10370,2024-05-13,CUST-0020,Retail Store
ORD-10371,2025-12-12,CUST-0146,B2B Sales
ORD-10372,2024-01-23,CUST-0160,B2B Sales
ORD-10373,2024-12-11,CUST-0043,B2B Sales
ORD-10374,2024-10-28,CUST-0254,Retail Store
ORD-10375,2024-12-28,CUST-0130,B2B Sales
ORD-10376,2025-01-30,CUST-0060,Retail Store
ORD-10377,2024-08-05,CUST-0151,Online
ORD-10378,2024-05-20,CUST-0287,Online
ORD-10379,2025-09-07,CUST-0005,Retail Store
ORD-10380,2024-07-28,CUST-0266,Online
ORD-10381,2025-09-14,CUST-0130,Retail Store
ORD-10382,2025-09-07,CUST-0267,Retail Store
ORD-10383,2025-11-13,CUST-0178,Online
ORD-10384,2025-04-04,CUST-0253,Retail Store
ORD-10385,2024-12-21,CUST-0056,Retail Store
ORD-10386,2024-11-19,CUST-0083,Online
ORD-10387,2024-05-12,CUST-0099,Online
ORD-10388,2024-05-06,CUST-0149,Online
ORD-10389,2024-04-15,CUST-0156,Online
ORD-10390,2025-08-26,CUST-0190,B2B Sales
ORD-10391,2025-01-12,CUST-0263,Online
ORD-10392,2024-02-20,CUST-0080,Retail Store
ORD-10393,2024-01-29,CUST-0252,Online
ORD-10394,2025-04-06,CUST-0097,Online
ORD-10395,2024-10-22,CUST-0260,Retail Store
ORD-10396,2024-10-23,CUST-0260,Retail Store
ORD-10397,2025-12-26,CUST-0103,Online
ORD-10398,2025-02-10,CUST-0040,Online
ORD-10399,2025-09-04,CUST-0273,Online
ORD-10400,2025-02-08,CUST-0101,Online
ORD-10401,2024-12-11,CUST-0221,Retail Store
ORD-10402,2025-09-13,CUST-0124,Online
ORD-10403,2025-02-23,CUST-0231,Online
ORD-10404,2024-06-30,CUST-0178,Online
ORD-10405,2024-01-01,CUST-0063,B2B Sales
ORD-10406,2025-07-20,CUST-0116,B2B Sales
ORD-10407,2025-01-05,CUST-0191,Online
ORD-10408,2025-10-22,CUST-0062,Retail Store
ORD-10409,2025-03-06,CUST-0256,Online
ORD-10410,2024-11-04,CUST-0007,Online
ORD-10411,2024-05-16,CUST-0155,Retail Store
ORD-10412,2024-07-20,CUST-0092,B2B Sales
ORD-10413,2025-03-11,CUST-0014,B2B Sales
ORD-10414,2024-11-08,CUST-0229,Retail Store
ORD-10415,2024-04-26,CUST-0086,Online
ORD-10416,2025-10-27,CUST-0133,Retail Store
ORD-10417,2025-07-28,CUST-0183,Online
ORD-10418,2024-08-31,CUST-0062,Retail Store
ORD-10419,2025-06-20,CUST-0219,Online
ORD-10420,2025-08-24,CUST-0246,Retail Store
ORD-10421,2024-03-15,CUST-0230,Online
ORD-10422,2025-01-20,CUST-0079,Online
ORD-10423,2024-07-28,CUST-0149,B2B Sales
ORD-10424,2025-04-19,CUST-0138,Online
ORD-10425,2025-02-21,CUST-0065,Retail Store
ORD-10426,2024-12-12,CUST-0013,Online
ORD-10427,2025-06-12,CUST-0213,Online
ORD-10428,2025-10-01,CUST-0242,Online
ORD-10429,2024-06-27,CUST-0213,Online
ORD-10430,2024-06-30,CUST-0181,B2B Sales
ORD-10431,2025-10-25,CUST-0173,Online
ORD-10432,2024-01-25,CUST-0160,B2B Sales
ORD-10433,2024-06-28,CUST-0164,Retail Store
ORD-10434,2025-12-10,CUST-0188,Online
ORD-10435,2025-05-15,CUST-0191,Retail Store
ORD-10436,2024-06-09,CUST-0256,Retail Store
ORD-10437,2024-06-25,CUST-0183,Retail Store
ORD-10438,2024-10-11,CUST-0117,Online
ORD-10439,2024-03-03,CUST-0282,Online
ORD-10440,2025-10-23,CUST-0196,B2B Sales
ORD-10441,2025-10-27,CUST-0034,B2B Sales
ORD-10442,2024-06-04,CUST-0052,B2B Sales
ORD-10443,2025-04-13,CUST-0112,Online
ORD-10444,2024-02-18,CUST-0252,Retail Store
ORD-10445,2024-03-24,CUST-0082,Online
ORD-10446,2024-12-26,CUST-0232,Online
ORD-10447,2025-11-19,CUST-0227,Online
ORD-10448,2024-05-27,CUST-0233,Retail Store
ORD-10449,2025-09-21,CUST-0221,Online
ORD-10450,2024-12-07,CUST-0042,Online
ORD-10451,2025-04-20,CUST-0021,B2B Sales
ORD-10452,2024-03-03,CUST-0042,Online
ORD-10453,2025-12-01,CUST-0113,Online
ORD-10454,2024-12-25,CUST-0105,Online
ORD-10455,2025-07-14,CUST-0192,B2B Sales
ORD-10456,2024-11-22,CUST-0017,Retail Store
ORD-10457,2024-05-20,CUST-0120,Online
ORD-10458,2024-08-02,CUST-0129,Retail Store
ORD-10459,2025-03-10,CUST-0130,Retail Store
ORD-10460,2025-12-23,CUST-0060,Online
ORD-10461,2024-11-13,CUST-0048,Retail Store
ORD-10462,2024-02-01,CUST-0029,Retail Store
ORD-10463,2025-10-31,CUST-0097,Retail Store
ORD-10464,2024-10-11,CUST-0010,Online
ORD-10465,2024-10-31,CUST-0242,B2B Sales
ORD-10466,2025-03-04,CUST-0232,Retail Store
ORD-10467,2025-04-21,CUST-0277,Online
ORD-10468,2024-10-12,CUST-0284,Online
ORD-10469,2024-05-23,CUST-0203,Online
ORD-10470,2025-02-27,CUST-0247,Online
ORD-10471,2024-01-19,CUST-0290,Retail Store
ORD-10472,2024-01-18,CUST-0264,Online
ORD-10473,2025-08-12,CUST-0214,Online
ORD-10474,2025-01-05,CUST-0200,Retail Store
ORD-10475,2024-06-23,CUST-0079,Online
ORD-10476,2024-07-12,CUST-0173,B2B Sales
ORD-10477,2025-05-16,CUST-0069,Online
ORD-10478,2024-04-22,CUST-0087,Online
ORD-10479,2024-04-23,CUST-0101,Online
ORD-10480,2024-08-09,CUST-0008,Online
ORD-10481,2025-11-08,CUST-0200,Online
ORD-10482,2025-10-05,CUST-0087,Retail Store
ORD-10483,2024-09-20,CUST-0043,B2B Sales
ORD-10484,2024-02-24,CUST-0109,Online
ORD-10485,2025-10-04,CUST-0152,Retail Store
ORD-10486,2025-04-02,CUST-0017,Retail Store
ORD-10487,2024-06-10,CUST-0133,Retail Store
ORD-10488,2025-01-14,CUST-0148,Online
ORD-10489,2024-03-27,CUST-0277,Online
ORD-10490,2024-02-24,CUST-0232,Online
ORD-10491,2025-04-20,CUST-0228,Retail Store
ORD-10492,2024-06-26,CUST-0139,Retail Store
ORD-10493,2025-01-25,CUST-0211,Online
ORD-10494,2024-12-14,CUST-0028,Online
ORD-10495,2024-01-08,CUST-0051,B2B Sales
ORD-10496,2024-11-08,CUST-0261,Retail Store
ORD-10497,2025-03-18,CUST-0261,B2B Sales
ORD-10498,2024-11-23,CUST-0008,Retail Store
ORD-10499,2024-02-23,CUST-0138,Online
ORD-10500,2024-08-26,CUST-0038,Retail Store
ORD-10501,2024-08-16,CUST-0111,Retail Store
ORD-10502,2025-08-01,CUST-0220,Online
ORD-10503,2024-02-20,CUST-0223,Retail Store
ORD-10504,2025-08-31,CUST-0136,Retail Store
ORD-10505,2025-08-26,CUST-0256,Online
ORD-10506,2024-09-20,CUST-0049,Retail Store
ORD-10507,2025-02-21,CUST-0292,Retail Store
ORD-10508,2024-04-05,CUST-0078,B2B Sales
ORD-10509,2024-03-28,CUST-0105,Online
ORD-10510,2024-03-18,CUST-0169,Online
ORD-10511,2024-10-14,CUST-0217,Retail Store
ORD-10512,2024-04-29,CUST-0119,Online
ORD-10513,2025-05-05,CUST-0190,Retail Store
ORD-10514,2025-03-27,CUST-0255,Retail Store
ORD-10515,2025-05-14,CUST-0266,Online
ORD-10516,2024-06-13,CUST-0149,Retail Store
ORD-10517,2024-06-30,CUST-0164,Retail Store
ORD-10518,2025-04-13,CUST-0140,Online
ORD-10519,2024-01-07,CUST-0258,B2B Sales
ORD-10520,2024-11-25,CUST-0269,Retail Store
ORD-10521,2025-11-03,CUST-0181,Retail Store
ORD-10522,2024-05-30,CUST-0160,Retail Store
ORD-10523,2024-03-25,CUST-0288,Online
ORD-10524,2024-05-26,CUST-0288,B2B Sales
ORD-10525,2025-09-15,CUST-0226,Retail Store
ORD-10526,2025-01-15,CUST-0011,Retail Store
ORD-10527,2025-07-01,CUST-0010,B2B Sales
ORD-10528,2024-10-11,CUST-0271,Online
ORD-10529,2025-11-30,CUST-0273,Retail Store
ORD-10530,2024-03-22,CUST-0183,Online
ORD-10531,2025-05-28,CUST-0153,Online
ORD-10532,2025-12-09,CUST-0124,Online
ORD-10533,2025-06-06,CUST-0114,B2B Sales
ORD-10534,2025-01-20,CUST-0278,B2B Sales
ORD-10535,2025-12-07,CUST-0213,Retail Store
ORD-10536,2025-04-15,CUST-0172,Retail Store
ORD-10537,2024-04-28,CUST-0288,Retail Store
ORD-10538,2025-01-30,CUST-0174,B2B Sales
ORD-10539,2025-06-15,CUST-0113,Online
ORD-10540,2024-09-17,CUST-0122,Online
ORD-10541,2024-09-12,CUST-0032,Online
ORD-10542,2024-08-13,CUST-0222,Retail Store
